species,common_name,functional_group,trophic_group,feeding_mode,primary_food,mobility,body_size,body_form
Tethya citrina,Orange Puffball Sponge,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Massive
Thalassema thalassema,Gaertner's Spoon Worm,DDF,Detritivore,Deposit feeding,Detritus / Organic matter,Mobile,Medium,Vermiform unsegmented
Thoracica,Normal Barnacles,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Conical
Tricolia,Pheasant-shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small ,Turbinate
Tricolia picta,Pheasant-shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small ,Turbinate
Tritia,Dog Whelks,MPS,Carnivore,Scavenging,Carrion / Detritus,Mobile,Small,Turbinate
Tritia incrassata,Thick-lipped Dogwhelk,MPS,Carnivore,Scavenging,Carrion / Detritus,Mobile,Small,Turbinate
Tritia reticulata,Netted Dogwhelk,MPS,Carnivore,Scavenging,Carrion / Detritus,Mobile,Small,Turbinate
Trivia,Cowrie,MPS,Carnivore,Predation,Sea squirts,Mobile,Small,Ovoid
Trivia arctica,Northern Cowrie,MPS,Carnivore,Predation,Sea squirts,Mobile,Small,Ovoid
Trivia monacha,European Cowrie,MPS,Carnivore,Predation,Sea squirts,Mobile,Small,Ovoid
Triviidae,Bean Cowries,MPS,Carnivore,Predation,Sea squirts,Mobile,Small,Ovoid
Trochidae,Top Shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Trochoidea,Top Shells,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Turbinate
Tubularia indivisa,Oaten Pipes Hydroid,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Turf
Tunicata,Tunicates,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Medium,Tunic
Turritellinella tricarinata,Common Tower Shell,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Small,Turbinate
Ulva,Sea Lettuces,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulva fenestrata,Sea Lettuce ,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulva flexuosa,Flexuous Gutweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulva intestinalis,Gutweed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulva lactuca,Broadleaf Sea Lettuce,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulva prolifera,Broadleaf Sea Lettuce,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulva rigida,Sea Lettuce,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulvaceae,Sea Lettuces,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulvales,Sea Lettuces and Allies,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Ulvophyceae,Ulvophycean Green Algae,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Mat
Undaria pinnatifida,Wakame,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Aborescent
Urosalpinx cinerea,Eastern Oyster Drill,MPS,Carnivore,Predation,Oysters,Mobile,Medium,Turbinate
Urticina felina,Dahlia Anemone,MPS,Carnivore,Predation,Crustaceans / Molluscs,Sessile,Medium,Globose
Venerida,Venus Clams ,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Veneridae,Venus Clams ,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Venerinae,Venus Clams ,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Veneroidea,Venus Clams ,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Venerupis corrugata,Pullet Carpet Shell,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Venus,Venus Clams ,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Venus casina,Pale Venus,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Venus verrucosa,Warty Venus Clam,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Mobile,Medium,Bivalved
Verruca stroemia,Wart Barnacle,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small ,Conical
Vertebrata lanosa,Wrack Siphon Weed,TFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Small,Aborescent
Vetigastropoda,Sea Snails,MG,Herbivore,Grazing,Algae / Biofilm / Organic sediments,Mobile,Small,Conical
Watersipora,Marine Bryozoans,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Encrusting / Colonial
Watersipora subatra,Red Ripple Bryozoan,SSF,Primary consumer,Suspension feeding,Bacteria / Plankton / Detritus,Sessile,Small,Encrusting / Colonial
Xanthinae,Crabs,MPS,Carnivore,Predation,Molluscs / Crustaceans,Mobile,Medium,Globose
Xantho,Crabs,MPS,Carnivore,Predation,Molluscs / Crustaceans,Mobile,Medium,Globose
Xantho hydrophilus,Montagu's Crab,MPS,Carnivore,Predation,Molluscs / Crustaceans,Mobile,Medium,Globose
Xantho pilipes,Risso's Crab,MPS,Carnivore,Predation,Molluscs / Crustaceans,Mobile,Medium,Globose
Zeugopterus punctatus,Topknot,MPS,Carnivore,Predation,Crustaceans / Small fishes,Mobile,Large,Pisciform
Zoarces viviparus,Viviparous Blenny,MPS,Carnivore,Predation,Gastropods / Crustaceans,Mobile,Large,Pisciform
Zostera,Eelgrasses,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Mat
Zostera marina,Eelgrass,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Mat
Zostera noltii,Dwarf Eelgrass,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Medium,Mat
Zosteraceae,Seagrasses,CFM,Primary producer,Photoautotrophy,Light / Nutrients,Sessile,Large,Mat
